; SUM fi;=H13;U rata-rata;=N13/H13;;fk*;=I8;;d2;=H10-H11;;kelas kuartil i;=(N16*N17)/4;;kelas desil i;=(Q17*Q16)/10;;kelas persentil i;=(T17*T16)/100;;;;;;
;;;c;=C12;;f Median;=H9;;c;=H20;;tbi;=F9-0.5;;tbi;=F10-0.5;;tbi;=F12-0.5;;;;;;
;X rata-rata;=C17/C18;X rata-rata;=E17+E19*E18;;c;=C12;;Modus;=K16+(K17/(K17+K18))*K19;;fk*i;=I8;;fk*i;=I9;;fk*i;=I11;;;;;;
;;;;;;Median;=H17+((H16-H18)/H19)*H20;;;;;fQi;=H9;;fDi;=H10;;fPi;=H12;;;;;;
;;;;;;;;;;;;c;=K19;;c;=N22;;c;=Q22;;;;;;
;;;;;;;;;;;;Quartil i;=N19+((N18-N20)/N21)*N22;;Desil;=Q19+((Q18-Q20)/Q21)*Q22;;Persentil i;=T19+((T18-T20)/T21)*T22;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
No;Kelas;;;mi-X;|mi-X|;|mi-X| *fi;|mi-X| ^ 2;|mi-X| ^2*fi;;;;;;;;;;;;;;;;;
1;=F8-0.5;-;=G8+0.5;=K8-$C$20;=ABS(E26);=F26*H8;=E26^2;=H26*H8;;;;;;;;;;;;;;;;;
2;=F9-0.5;-;=G9+0.5;=K9-$C$20;=ABS(E27);=F27*H9;=E27^2;=H27*H9;;;;;;;;;;;;;;;;;
3;=F10-0.5;-;=G10+0.5;=K10-$C$20;=ABS(E28);=F28*H10;=E28^2;=H28*H10;;;;;;;;;;;;;;;;;
4;=F11-0.5;-;=G11+0.5;=K11-$C$20;=ABS(E29);=F29*H11;=E29^2;=H29*H11;;;;;;;;;;;;;;;;;
5;=F12-0.5;-;=G12+0.5;=K12-$C$20;=ABS(E30);=F30*H12;=E30^2;=H30*H12;;;;;;;;;;;;;;;;;
 SUM ;;;;;;=SUM(G26:G30);;=SUM(I26:I30);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
UKURAN VARIASI;;;;;;;;;;ctrl+shft+ent;;;;;;;;;;;;;;;
Range;Cara 1;=K12-K8;mi kls terakhir - mi kelas pertama;;;;;;;Pembuatan Histogram;;cara mudah;;;;;;;;;;;;;
;Cara 2;=D30-B26;bt atas sbnrnya kls terakhir - bt bawah sbnrnya kls pertama;;;;;;;kelas;frek;;;;;;;;;;;;;;
RS;=1/E38*G31;;;;;;;;;=@CONCATENATE(B26:B30,C26:C30,D26:D30);=H8;=B26&C26&D26;;;;;;;;;;;;;
V;=1/E38*I31;;;n;;;;;;118.5-211.5;=H9;=B27&C27&D27;;;;;;;;;;;;;
S;=SQRT(B37);;;=Q17;;;;;;211.5-304.5;=H10;=B28&C28&D28;;;;;;;;;;;;;
;;;;;;;;;;304.5-397.5;=H11;=B29&C29&D29;;;;;;;;;;;;;
;;;;;;;;;;397.5-490.5;=H12;=B30&C30&D30;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Kesimetrsian;;;;Kurtosis;;;;|mi-X| ^ 4;|mi-X| ^4*fi;;;;;;;;;;;;;;;;
Mo;=(C20-K20)/B38;;;M4;=1/B7*(J51);;;=F26^4;=I46*H8;;;;;;;;;;;;;;;;
Me;=3*(C20-H21)/B38;;;S4;=B38^4;;;=F27^4;=I47*H9;;;;;;;;;;;;;;;;
;;;;Ukuran Kurtosis;=F46/F47;;;=F28^4;=I48*H10;;;;;;;;;;;;;;;;
;;;;;;platikurtik;;=F29^4;=I49*H11;;;;;;;;;;;;;;;;
;;;;;;;;=F30^4;=I50*H12;;;;;;;;;;;;;;;;
;;;;;;;;=SUM(I46:I50);=SUM(J46:J50);;;;;;;;;;;;;;;;
